web-scraper-order,web-scraper-start-url,title,title-href,lokasi,luaslahan,luasbangunan,kamartidur,kamarmandi,fullyfurnished,memiliki_ac,memiliki_airpanas,memiliki_tv,memiliki_kitchenset,memiliki_balkon,memiliki_keamanan24jam,memiliki_tamanbermainanak,harga
"1696673387-1707","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/jual-cepat-rumah-di-jakarta-garden-city-cluster-zebrina.html","Jakarta Garden City
                                        Cakung, Jakarta Timur","120 m²","90 m²","4","4","Tidak","null","null","null","null","Balkon","Keamanan 24 jam","Taman bermain anak","Rp2.200.000.000"
"1696673391-1708","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/dijual-rumah-mewah-di-senopati-jakarta-selatan-168604664475.html","Senopati, Jakarta Selatan
                                        Senayan, Jakarta Selatan","211 m²","400 m²","4","4","Tidak","null","null","null","null","null","null","null","Rp22.000.000.000"
"1696673396-1709","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/rumah-murah-di-pondok-indah-168189107129.html","Jln.Kartika Utama
                                        Pondok Indah, Jakarta Selatan","413 m²","750 m²","4","4","750","Pendingin ruangan (AC)","Air Panas","null","Kitchen set","Balkon","null","Taman bermain anak","Rp15.000.000.000"
"1696673400-1710","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/rumah-siap-huni-dilokasi-strategis-5-menit-menuju-169337670992.html","Tanjung Barat, Jakarta Selatan","65 m²","45 m²","2","2","45","null","null","null","null","null","Keamanan 24 jam","null","Rp365.000.000"
"1696673404-1711","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/rumah-pondok-indah-luas-200-m2-168128911367.html","Pondok Indah, Jakarta Selatan","200 m²","250 m²","4","4","200","null","null","null","null","null","null","null","Rp7.000.000.000"
"1696673410-1712","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/dijual-cepat-rumah-di-duren-sawit-jakarta-timur-168508746975.html","duren sawit  Jakarta timur
                                        Duren Sawit, Jakarta Timur","107 m²","70 m²","2","2","70","null","null","null","null","null","null","null","Rp1.450.000.000"
"1696673413-1713","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/rumah-3-lantai-800-jutaan-bisa-kpr-free-biaya2-all-in-5-menit-ke-pintu-toll-5.html","Cibubur, Jakarta Timur","83 m²","75 m²","3","3","75","null","null","null","null","null","null","null","Rp800.000.000"
"1696673418-1714","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/dijual-rumah-mewah-siap-huni-di-pondok-indah-jakarta-selatan-2.html","Pondok Indah
                                        Pondok Indah, Jakarta Selatan","408 m²","800 m²","7","7","408","Pendingin ruangan (AC)","null","Televisi","Kitchen set","null","null","null","Rp24.500.000.000"
"1696673422-1715","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/rumah-cantik-siap-huni-di-pondok-indah-16758670779.html","Jalan Pinang Kuningan, Jakarta Selatan 12230, Indonesia
                                        Pondok Indah, Jakarta Selatan","270 m²","270 m²","3","3","270","Pendingin ruangan (AC)","Air Panas","Televisi","Kitchen set","Balkon","Keamanan 24 jam","Taman bermain anak","Rp5.500.000.000"
"1696673426-1716","https://www.lamudi.co.id/jakarta/house/single-family-house/buy/?page=100","Lihat","https://www.lamudi.co.id/rumah-3-lantai-dijual-capat-bangunan-baru-4-tahun-167418267290.html","Duri Kepa Kel., Kebon Jeruk, Jakarta, JABODETABEK, Indonesia
                                        Kebon Jeruk, Jakarta Barat","67 m²","130 m²","4","4","130","Pendingin ruangan (AC)","null","null","null","null","null","null","Rp1.600.000.000"
